ENSG00000162385	ENST00000371470	MAGOH	HGNC:6815	P61326
ENSG00000198271	ENST00000343246	KRTAP4-5	HGNC:18899	Q9BYR2
ENSG00000188694	ENST00000340345	KRTAP24-1	HGNC:33902	Q3LI83
ENSG00000048405	ENST00000619291	ZNF800	HGNC:27267	
ENSG00000162385	ENST00000371466	MAGOH	HGNC:6815	P61326
ENSG00000106443	ENST00000423760	PHF14	HGNC:22203	
ENSG00000112984	ENST00000513276	KIF20A	HGNC:9787	
ENSG00000106443	ENST00000634607	PHF14	HGNC:22203	
ENSG00000135747	ENST00000465049	ZNF670-ZNF695	HGNC:49200	
ENSG00000235863	ENST00000451237	B3GALT4	HGNC:919	O96024
ENSG00000135747	ENST00000474541	ZNF670-ZNF695	HGNC:49200	
ENSG00000035720	ENST00000265404	STAP1	HGNC:24133	Q9ULZ2
ENSG00000277236	ENST00000633434	CCL14	HGNC:10612	
ENSG00000035720	ENST00000396225	STAP1	HGNC:24133	Q9ULZ2
ENSG00000132965	ENST00000380490	ALOX5AP	HGNC:436	P20292
ENSG00000244623	ENST00000316368	OR2AE1	HGNC:15087	Q8NHA4
ENSG00000132965	ENST00000617770	ALOX5AP	HGNC:436	
ENSG00000168090	ENST00000303904	COPS6	HGNC:21749	Q7L5N1
ENSG00000171202	ENST00000525353	TMEM126A	HGNC:25382	
ENSG00000118407	ENST00000393004	FILIP1	HGNC:21015	Q7Z7B0
ENSG00000277236	ENST00000632700	CCL14	HGNC:10612	Q16627
ENSG00000168090	ENST00000419210	COPS6	HGNC:21749	
ENSG00000118407	ENST00000237172	FILIP1	HGNC:21015	Q7Z7B0
ENSG00000187554	ENST00000366881	TLR5	HGNC:11851	O60602
ENSG00000187554	ENST00000407096	TLR5	HGNC:11851	
ENSG00000277236	ENST00000619040	CCL14	HGNC:10612	Q16627
ENSG00000168090	ENST00000418625	COPS6	HGNC:21749	
ENSG00000242732	ENST00000479991	RGAG4	HGNC:29430	Q5HYW3
ENSG00000171202	ENST00000528105	TMEM126A	HGNC:25382	Q9H061
ENSG00000187554	ENST00000540964	TLR5	HGNC:11851	O60602
ENSG00000277236	ENST00000618060	CCL14	HGNC:10612	
ENSG00000242732	ENST00000609883	RGAG4	HGNC:29430	Q5HYW3
ENSG00000118407	ENST00000370020	FILIP1	HGNC:21015	
ENSG00000171202	ENST00000531366	TMEM126A	HGNC:25382	
ENSG00000189269	ENST00000317749	DRICH1	HGNC:28031	Q6PGQ1
ENSG00000205029	ENST00000378396	OR5D16	HGNC:15283	Q8NGK9
ENSG00000189269	ENST00000614553	DRICH1	HGNC:28031	Q6PGQ1
ENSG00000171202	ENST00000304511	TMEM126A	HGNC:25382	Q9H061
ENSG00000114529	ENST00000480282	C3orf52	HGNC:26255	Q5BVD1
ENSG00000171202	ENST00000532180	TMEM126A	HGNC:25382	Q9H061
ENSG00000168090	ENST00000426712	COPS6	HGNC:21749	
ENSG00000214642	ENST00000398718	DEFB113	HGNC:18094	Q30KQ7
ENSG00000163145	ENST00000397700	C1QTNF7	HGNC:14342	
ENSG00000186471	ENST00000371431	AKAP14	HGNC:24061	Q86UN6
ENSG00000114529	ENST00000264848	C3orf52	HGNC:26255	Q5BVD1
ENSG00000183850	ENST00000593635	ZNF730	HGNC:32470	
ENSG00000198707	ENST00000547691	CEP290	HGNC:29021	O15078
ENSG00000276357	ENST00000614753	KIR3DL2	HGNC:6339	P43630
ENSG00000114529	ENST00000484828	C3orf52	HGNC:26255	
ENSG00000163145	ENST00000295297	C1QTNF7	HGNC:14342	Q9BXJ2
ENSG00000186471	ENST00000371422	AKAP14	HGNC:24061	Q86UN6
ENSG00000112984	ENST00000394894	KIF20A	HGNC:9787	O95235
ENSG00000186471	ENST00000334356	AKAP14	HGNC:24061	Q86UN6
ENSG00000129187	ENST00000500813	DCTD	HGNC:2710	
ENSG00000183850	ENST00000597761	ZNF730	HGNC:32470	Q6ZMV8
ENSG00000112984	ENST00000508792	KIF20A	HGNC:9787	O95235
ENSG00000180138	ENST00000379800	CSNK1A1L	HGNC:20289	Q8N752
ENSG00000183850	ENST00000599195	ZNF730	HGNC:32470	
ENSG00000101405	ENST00000217386	OXT	HGNC:8528	P01178
ENSG00000186471	ENST00000371425	AKAP14	HGNC:24061	Q86UN6
ENSG00000276357	ENST00000613029	KIR3DL2	HGNC:6339	
ENSG00000114529	ENST00000431717	C3orf52	HGNC:26255	Q5BVD1
ENSG00000130768	ENST00000373894	SMPDL3B	HGNC:21416	Q92485
ENSG00000112984	ENST00000504621	KIF20A	HGNC:9787	
ENSG00000036054	ENST00000485687	TBC1D23	HGNC:25622	
ENSG00000259956	ENST00000563281	RBM15B	HGNC:24303	Q8NDT2
ENSG00000112984	ENST00000502338	KIF20A	HGNC:9787	
ENSG00000267545	ENST00000593083			
ENSG00000163145	ENST00000382383	C1QTNF7	HGNC:14342	
ENSG00000130768	ENST00000548116	SMPDL3B	HGNC:21416	
ENSG00000130768	ENST00000411604	SMPDL3B	HGNC:21416	
ENSG00000130768	ENST00000373888	SMPDL3B	HGNC:21416	Q92485
ENSG00000163145	ENST00000444304	C1QTNF7	HGNC:14342	Q9BXJ2
ENSG00000251322	ENST00000445220	SHANK3	HGNC:14294	
ENSG00000163145	ENST00000429690	C1QTNF7	HGNC:14342	Q9BXJ2
ENSG00000130768	ENST00000549094	SMPDL3B	HGNC:21416	
ENSG00000179918	ENST00000478753	SEPHS2	HGNC:19686	
ENSG00000251322	ENST00000262795	SHANK3	HGNC:14294	
ENSG00000157087	ENST00000352432	ATP2B2	HGNC:815	Q01814
ENSG00000136997	ENST00000259523	MYC	HGNC:7553	
ENSG00000276856	ENST00000631187	TUBGCP5	HGNC:18600	
ENSG00000136997	ENST00000517291	MYC	HGNC:7553	
ENSG00000276856	ENST00000630135	TUBGCP5	HGNC:18600	
ENSG00000163625	ENST00000295888	WDFY3	HGNC:20751	Q8IZQ1
ENSG00000157087	ENST00000383800	ATP2B2	HGNC:815	Q01814
ENSG00000274540	ENST00000610320	PRR23D1	HGNC:49420	E9PI22
ENSG00000157087	ENST00000460129	ATP2B2	HGNC:815	Q01814
ENSG00000276856	ENST00000620361	TUBGCP5	HGNC:18600	
ENSG00000157087	ENST00000397077	ATP2B2	HGNC:815	Q01814
ENSG00000163625	ENST00000514711	WDFY3	HGNC:20751	
ENSG00000278567	ENST00000613396	CCL3	HGNC:10627	
ENSG00000157087	ENST00000452124	ATP2B2	HGNC:815	
ENSG00000276856	ENST00000628386	TUBGCP5	HGNC:18600	
ENSG00000188488	ENST00000554220	SERPINA5	HGNC:8723	
ENSG00000271079	ENST00000420911	CTAGE15	HGNC:37295	A4D2H0
ENSG00000157992	ENST00000288873	KRTCAP3	HGNC:28943	Q53RY4
ENSG00000276856	ENST00000625857	TUBGCP5	HGNC:18600	
ENSG00000230763	ENST00000425130	HLA-DPB1	HGNC:4940	P04440
ENSG00000179909	ENST00000512439	ZNF154	HGNC:12939	Q13106
ENSG00000230763	ENST00000411558	HLA-DPB1	HGNC:4940	
ENSG00000157087	ENST00000360273	ATP2B2	HGNC:815	Q01814
ENSG00000133422	ENST00000397641	MORC2	HGNC:23573	Q9Y6X9
ENSG00000129187	ENST00000357067	DCTD	HGNC:2710	P32321
ENSG00000179909	ENST00000451275	ZNF154	HGNC:12939	Q13106
ENSG00000157992	ENST00000453171	KRTCAP3	HGNC:28943	
ENSG00000276856	ENST00000626276	TUBGCP5	HGNC:18600	
ENSG00000277457	ENST00000616816	LENG1	HGNC:15502	
ENSG00000127955	ENST00000442586	GNAI1	HGNC:4384	
ENSG00000136997	ENST00000621592	MYC	HGNC:7553	
ENSG00000176715	ENST00000537895	ACSF3	HGNC:27288	
ENSG00000276856	ENST00000626693	TUBGCP5	HGNC:18600	
ENSG00000157992	ENST00000407293	KRTCAP3	HGNC:28943	Q53RY4
ENSG00000136997	ENST00000377970	MYC	HGNC:7553	P01106
ENSG00000130201	ENST00000252482	EXOC3L2	HGNC:30162	Q2M3D2
ENSG00000136997	ENST00000524013	MYC	HGNC:7553	
ENSG00000276856	ENST00000627961	TUBGCP5	HGNC:18600	
ENSG00000130201	ENST00000413988	EXOC3L2	HGNC:30162	Q2M3D2
ENSG00000136997	ENST00000520751	MYC	HGNC:7553	
ENSG00000132874	ENST00000586448	SLC14A2	HGNC:10919	Q15849
